Designator,Mid X,Mid Y,Layer,Rotation
C1,205.80,-59.15,T,0.00
C1,73.80,-59.15,T,0.00
C2,95.60,-68.80,T,180.00
C2,227.60,-68.80,T,180.00
C3,210.00,-56.34,T,90.00
C3,78.00,-56.34,T,90.00
C4,215.40,-62.00,T,90.00
C4,83.40,-62.00,T,90.00
C5,87.34,-53.62,T,90.00
C5,219.34,-53.62,T,90.00
C6,216.60,-62.00,T,90.00
C6,84.60,-62.00,T,90.00
C7,88.70,-67.40,T,180.00
C7,220.70,-67.40,T,180.00
C8,24.60,-52.60,T,180.00
C8,156.60,-52.60,T,180.00
C9,31.08,-58.49,T,270.00
C9,163.08,-58.49,T,270.00
C10,155.28,-54.99,T,90.00
C10,23.28,-54.99,T,90.00
C11,24.58,-55.49,T,90.00
C11,156.58,-55.49,T,90.00
C12,186.45,-74.30,T,0.00
C12,54.45,-74.30,T,0.00
C13,183.05,-76.60,T,270.00
C13,51.05,-76.60,T,270.00
C14,189.80,-66.30,T,180.00
C14,57.80,-66.30,T,180.00
C15,190.40,-67.70,T,180.00
C15,58.40,-67.70,T,180.00
C16,58.60,-75.20,T,180.00
C16,190.60,-75.20,T,180.00
C17,64.10,-75.90,T,270.00
C17,196.10,-75.90,T,270.00
C18,198.60,-74.60,T,0.00
C18,66.60,-74.60,T,0.00
C19,197.70,-70.70,T,270.00
C19,65.70,-70.70,T,270.00
C20,63.10,-75.92,T,270.00
C20,195.10,-75.92,T,270.00
C21,191.20,-76.30,T,180.00
C21,59.20,-76.30,T,180.00
C22,66.60,-73.60,T,0.00
C22,198.60,-73.60,T,0.00
C23,196.90,-79.00,T,270.00
C23,64.90,-79.00,T,270.00
C24,67.70,-70.70,T,0.00
C24,199.70,-70.70,T,0.00
C25,61.80,-78.00,T,270.00
C25,193.80,-78.00,T,270.00
C26,58.70,-77.60,T,180.00
C26,190.70,-77.60,T,180.00
C27,201.10,-74.70,T,270.00
C27,69.10,-74.70,T,270.00
C28,63.40,-79.00,T,270.00
C28,195.40,-79.00,T,270.00
C29,66.60,-75.60,T,0.00
C29,198.60,-75.60,T,0.00
C30,203.20,-74.30,T,0.00
C30,71.20,-74.30,T,0.00
C31,69.70,-71.72,T,90.00
C31,201.70,-71.72,T,90.00
C32,201.70,-69.68,T,90.00
C32,69.70,-69.68,T,90.00
C33,203.20,-67.10,T,180.00
C33,71.20,-67.10,T,180.00
C34,199.20,-77.00,T,0.00
C34,67.20,-77.00,T,0.00
C35,203.20,-73.30,T,0.00
C35,71.20,-73.30,T,0.00
C36,203.20,-72.20,T,0.00
C36,71.20,-72.20,T,0.00
C37,71.20,-69.20,T,0.00
C37,203.20,-69.20,T,0.00
C38,203.20,-68.10,T,0.00
C38,71.20,-68.10,T,0.00
C39,72.70,-71.72,T,90.00
C39,204.70,-71.72,T,90.00
C40,204.70,-69.68,T,90.00
C40,72.70,-69.68,T,90.00
C41,239.80,-67.00,T,0.00
C41,107.80,-67.00,T,0.00
C42,110.40,-70.00,T,90.00
C42,242.40,-70.00,T,90.00
C43,233.85,-63.30,T,180.00
C43,101.85,-63.30,T,180.00
C44,236.45,-60.86,T,270.00
C44,104.45,-60.86,T,270.00
C45,227.60,-67.40,T,180.00
C45,95.60,-67.40,T,180.00
D1,243.60,-54.00,T,270.00
D1,111.60,-54.00,T,270.00
D2,33.52,-58.00,T,0.00
D2,165.52,-58.00,T,0.00
D3,36.50,-58.00,T,0.00
D3,168.50,-58.00,T,0.00
D4,162.50,-61.50,T,0.00
D4,30.50,-61.50,T,0.00
D5,165.50,-61.50,T,0.00
D5,33.50,-61.50,T,0.00
D6,168.50,-61.50,T,0.00
D6,36.50,-61.50,T,0.00
D7,171.50,-61.50,T,0.00
D7,39.50,-61.50,T,0.00
D8,30.50,-64.50,T,0.00
D8,162.50,-64.50,T,0.00
D9,33.50,-64.50,T,0.00
D9,165.50,-64.50,T,0.00
D10,36.50,-64.50,T,0.00
D10,168.50,-64.50,T,0.00
D11,39.50,-64.50,T,0.00
D11,171.50,-64.50,T,0.00
D12,175.00,-64.50,T,0.00
D12,43.00,-64.50,T,0.00
D13,27.00,-68.00,T,0.00
D13,159.00,-68.00,T,0.00
D14,30.50,-68.00,T,0.00
D14,162.50,-68.00,T,0.00
D15,33.50,-68.00,T,0.00
D15,165.50,-68.00,T,0.00
D16,27.00,-71.00,T,0.00
D16,159.00,-71.00,T,0.00
D17,162.50,-71.00,T,0.00
D17,30.50,-71.00,T,0.00
D18,165.50,-71.00,T,0.00
D18,33.50,-71.00,T,0.00
D19,171.50,-71.00,T,0.00
D19,39.50,-71.00,T,0.00
D20,24.02,-74.50,T,0.00
D20,156.02,-74.50,T,0.00
D21,159.00,-74.50,T,0.00
D21,27.00,-74.50,T,0.00
D22,171.50,-74.50,T,0.00
D22,39.50,-74.50,T,0.00
D23,175.00,-74.50,T,0.00
D23,43.00,-74.50,T,0.00
D24,20.50,-77.97,T,0.00
D24,152.50,-77.97,T,0.00
D25,24.00,-78.00,T,0.00
D25,156.00,-78.00,T,0.00
D26,43.00,-78.00,T,0.00
D26,175.00,-78.00,T,0.00
D27,152.50,-81.50,T,0.00
D27,20.50,-81.50,T,0.00
D28,24.00,-81.50,T,0.00
D28,156.00,-81.50,T,0.00
D29,43.00,-81.50,T,0.00
D29,175.00,-81.50,T,0.00
D30,152.50,-84.50,T,0.00
D30,20.50,-84.50,T,0.00
D31,24.00,-84.50,T,0.00
D31,156.00,-84.50,T,0.00
D32,175.00,-84.50,T,0.00
D32,43.00,-84.50,T,0.00
D33,20.50,-87.50,T,0.00
D33,152.50,-87.50,T,0.00
D34,156.02,-87.50,T,0.00
D34,24.02,-87.50,T,0.00
D35,168.50,-71.00,T,0.00
D35,36.50,-71.00,T,0.00
D36,171.50,-87.50,T,0.00
D36,39.50,-87.50,T,0.00
D37,156.00,-90.50,T,0.00
D37,24.00,-90.50,T,0.00
D38,26.99,-90.50,T,0.00
D38,158.99,-90.50,T,0.00
D39,27.00,-94.00,T,0.00
D39,159.00,-94.00,T,0.00
D40,30.00,-94.00,T,0.00
D40,162.00,-94.00,T,0.00
D41,21.24,-31.28,T,90.00
D41,153.24,-31.28,T,90.00
D42,156.73,-28.79,T,135.00
D42,24.73,-28.79,T,135.00
D43,49.75,-46.73,T,270.00
D43,181.75,-46.73,T,270.00
D44,189.14,-37.27,T,180.00
D44,57.14,-37.27,T,180.00
D45,81.30,-25.27,T,0.00
D45,213.30,-25.27,T,0.00
D46,207.05,-41.00,T,135.00
D46,75.05,-41.00,T,135.00
D47,90.95,-49.27,T,180.00
D47,222.95,-49.27,T,180.00
D48,237.45,-39.77,T,90.00
D48,105.45,-39.77,T,90.00
D49,153.24,-27.80,T,90.00
D49,21.24,-27.80,T,90.00
D50,27.21,-31.27,T,135.00
D50,159.21,-31.27,T,135.00
D51,181.75,-43.25,T,270.00
D51,49.75,-43.25,T,270.00
D52,60.64,-37.27,T,180.00
D52,192.64,-37.27,T,180.00
D53,77.78,-25.27,T,0.00
D53,209.78,-25.27,T,0.00
D54,77.45,-43.27,T,135.00
D54,209.45,-43.27,T,135.00
D55,226.46,-49.27,T,180.00
D55,94.46,-49.27,T,180.00
D56,237.45,-43.25,T,90.00
D56,105.45,-43.25,T,90.00
D57,21.24,-34.80,T,90.00
D57,153.24,-34.80,T,90.00
D58,161.70,-33.76,T,135.00
D58,29.70,-33.76,T,135.00
D59,181.75,-39.74,T,270.00
D59,49.75,-39.74,T,270.00
D60,64.16,-37.27,T,180.00
D60,196.16,-37.27,T,180.00
D61,206.21,-25.27,T,0.00
D61,74.21,-25.27,T,0.00
D62,79.95,-45.77,T,135.00
D62,211.95,-45.77,T,135.00
D63,229.96,-49.27,T,180.00
D63,97.96,-49.27,T,180.00
D64,237.45,-46.77,T,90.00
D64,105.45,-46.77,T,90.00
D65,159.31,-25.27,T,0.00
D65,27.31,-25.27,T,0.00
D66,24.47,-40.79,T,135.00
D66,156.47,-40.79,T,135.00
D67,172.39,-49.27,T,180.00
D67,40.39,-49.27,T,180.00
D68,54.75,-39.77,T,90.00
D68,186.75,-39.77,T,90.00
D69,83.49,-34.77,T,270.00
D69,215.49,-34.77,T,270.00
D70,220.49,-27.79,T,90.00
D70,88.49,-27.79,T,90.00
D71,223.98,-28.80,T,135.00
D71,91.98,-28.80,T,135.00
D72,249.45,-46.73,T,270.00
D72,117.45,-46.73,T,270.00
D73,155.80,-25.27,T,0.00
D73,23.80,-25.27,T,0.00
D74,26.95,-43.27,T,135.00
D74,158.95,-43.27,T,135.00
D75,43.87,-49.27,T,180.00
D75,175.87,-49.27,T,180.00
D76,54.75,-43.25,T,90.00
D76,186.75,-43.25,T,90.00
D77,215.49,-31.27,T,270.00
D77,83.49,-31.27,T,270.00
D78,220.49,-31.25,T,90.00
D78,88.49,-31.25,T,90.00
D79,94.45,-31.27,T,135.00
D79,226.45,-31.27,T,135.00
D80,117.45,-43.25,T,270.00
D80,249.45,-43.25,T,270.00
D81,30.84,-25.27,T,0.00
D81,162.84,-25.27,T,0.00
D82,161.44,-45.76,T,135.00
D82,29.44,-45.76,T,135.00
D83,179.37,-49.27,T,180.00
D83,47.37,-49.27,T,180.00
D84,186.75,-46.77,T,90.00
D84,54.75,-46.77,T,90.00
D85,215.49,-27.76,T,270.00
D85,83.49,-27.76,T,270.00
D86,88.49,-34.79,T,90.00
D86,220.49,-34.79,T,90.00
D87,228.93,-33.75,T,135.00
D87,96.93,-33.75,T,135.00
D88,117.45,-39.74,T,270.00
D88,249.45,-39.74,T,270.00
D89,33.01,-31.25,T,270.00
D89,165.01,-31.25,T,270.00
D90,170.01,-27.76,T,90.00
D90,38.01,-27.76,T,90.00
D91,173.49,-28.81,T,135.00
D91,41.49,-28.81,T,135.00
D92,66.54,-46.73,T,270.00
D92,198.54,-46.73,T,270.00
D93,205.95,-37.27,T,180.00
D93,73.95,-37.27,T,180.00
D94,229.95,-25.27,T,0.00
D94,97.95,-25.27,T,0.00
D95,91.99,-40.81,T,135.00
D95,223.99,-40.81,T,135.00
D96,239.92,-49.27,T,180.00
D96,107.92,-49.27,T,180.00
D97,165.01,-27.74,T,270.00
D97,33.01,-27.74,T,270.00
D98,38.01,-31.24,T,90.00
D98,170.01,-31.24,T,90.00
D99,175.95,-31.27,T,135.00
D99,43.95,-31.27,T,135.00
D100,66.54,-43.25,T,270.00
D100,198.54,-43.25,T,270.00
D101,77.49,-37.27,T,180.00
D101,209.49,-37.27,T,180.00
D102,94.46,-25.27,T,0.00
D102,226.46,-25.27,T,0.00
D103,94.45,-43.27,T,135.00
D103,226.45,-43.27,T,135.00
D104,243.43,-49.27,T,180.00
D104,111.43,-49.27,T,180.00
D105,165.01,-34.74,T,270.00
D105,33.01,-34.74,T,270.00
D106,38.01,-34.76,T,90.00
D106,170.01,-34.76,T,90.00
D107,46.42,-33.74,T,135.00
D107,178.42,-33.74,T,135.00
D108,198.54,-39.74,T,270.00
D108,66.54,-39.74,T,270.00
D109,213.03,-37.27,T,180.00
D109,81.03,-37.27,T,180.00
D110,90.95,-25.27,T,0.00
D110,222.95,-25.27,T,0.00
D111,228.94,-45.76,T,135.00
D111,96.94,-45.76,T,135.00
D112,114.94,-49.27,T,180.00
D112,246.94,-49.27,T,180.00
D113,162.64,-37.27,T,180.00
D113,30.64,-37.27,T,180.00
D114,47.52,-25.27,T,0.00
D114,179.52,-25.27,T,0.00
D115,173.51,-40.80,T,135.00
D115,41.51,-40.80,T,135.00
D116,57.11,-49.27,T,180.00
D116,189.11,-49.27,T,180.00
D117,71.54,-39.76,T,90.00
D117,203.54,-39.76,T,90.00
D118,100.45,-34.76,T,270.00
D118,232.45,-34.76,T,270.00
D119,237.45,-27.79,T,90.00
D119,105.45,-27.79,T,90.00
D120,240.96,-28.78,T,135.00
D120,108.96,-28.78,T,135.00
D121,155.61,-37.27,T,180.00
D121,23.61,-37.27,T,180.00
D122,176.03,-25.27,T,0.00
D122,44.03,-25.27,T,0.00
D123,175.95,-43.27,T,135.00
D123,43.95,-43.27,T,135.00
D124,192.62,-49.27,T,180.00
D124,60.62,-49.27,T,180.00
D125,203.54,-43.25,T,90.00
D125,71.54,-43.25,T,90.00
D126,232.45,-31.27,T,270.00
D126,100.45,-31.27,T,270.00
D127,237.45,-31.27,T,90.00
D127,105.45,-31.27,T,90.00
D128,111.45,-31.27,T,135.00
D128,243.45,-31.27,T,135.00
D129,27.12,-37.27,T,180.00
D129,159.12,-37.27,T,180.00
D130,40.53,-25.27,T,0.00
D130,172.53,-25.27,T,0.00
D131,178.42,-45.74,T,135.00
D131,46.42,-45.74,T,135.00
D132,196.14,-49.27,T,180.00
D132,64.14,-49.27,T,180.00
D133,203.54,-46.75,T,90.00
D133,71.54,-46.75,T,90.00
D134,232.45,-27.76,T,270.00
D134,100.45,-27.76,T,270.00
D135,237.45,-34.79,T,90.00
D135,105.45,-34.79,T,90.00
D136,113.94,-33.76,T,135.00
D136,245.94,-33.76,T,135.00
D137,153.24,-39.77,T,90.00
D137,21.24,-39.77,T,90.00
D138,181.75,-34.76,T,270.00
D138,49.75,-34.76,T,270.00
D139,54.75,-27.79,T,90.00
D139,186.75,-27.79,T,90.00
D140,58.22,-28.79,T,135.00
D140,190.22,-28.79,T,135.00
D141,215.49,-46.73,T,270.00
D141,83.49,-46.73,T,270.00
D142,90.98,-37.27,T,180.00
D142,222.98,-37.27,T,180.00
D143,114.99,-25.27,T,0.00
D143,246.99,-25.27,T,0.00
D144,108.97,-40.79,T,135.00
D144,240.97,-40.79,T,135.00
D145,153.24,-43.25,T,90.00
D145,21.24,-43.25,T,90.00
D146,49.75,-31.27,T,270.00
D146,181.75,-31.27,T,270.00
D147,54.75,-31.27,T,90.00
D147,186.75,-31.27,T,90.00
D148,192.70,-31.27,T,135.00
D148,60.70,-31.27,T,135.00
D149,83.49,-43.25,T,270.00
D149,215.49,-43.25,T,270.00
D150,94.47,-37.27,T,180.00
